Industry,Name,AccountSource,BillingCountry,BillingState,Owner.Name,Type,AnnualRevenue,NumberOfEmployees,Segment,Sic
Technology,Greer122 Inc,Partner,Thailand,,Eric Gutierrez,Customer,1000000,5000,MM,1610
Banking,Stewart123 Inc,Public Relations,Switzerland,,Julie Chavez,Partner,1000000,5000,ENT,1629
Manufacturing,Frank124 Inc,Web,Normway,,Catherine Brown,Partner,1000000,5000,ESMB,2400
Telecommunications,Burke125 Inc,Web,Hong Kong,,Johnny Green,Customer,1000000,5000,COMM,3220
Healthcare,Bates126 Inc,Partner,Korea,,Kelly Frazier,Partner,1000000,5000,ENT,1610
Transportation,Nash127 Inc,Word of mouth,Japan,,Johnny Green,Customer,1000000,5000,COMM,1629
Transportation,Morton128 Inc,Web,Japan,,Laura Garza,Customer,1000000,5000,SMB,2400
Agriculture,Cruz129 Inc,Trade Show,Korea,,Nicolas Weaver,Customer,1000000,5000,MM,3220
Apparel,Jennings130 Inc,Word of mouth,Switzerland,,Dennis Howard,Customer,1000000,5000,ESMB,1610
Manufacturing,Rodgers131 Inc,Trade Show,Italy,,Evelyn Williamson,Customer,1000000,5000,COMM,1629
Apparel,Cobb132 Inc,Employee Referral,Taiwan,,Dennis Howard,Customer,1000000,5000,MM,2400
Technology,Johnston133 Inc,Trade Show,USA,OR,Evelyn Williamson,Customer,1000000,5000,COMM,3220
Finance,Nichols134 Inc,Word of mouth,Canada,AZ,Laura Palmer,Customer,1000000,5000,COMM,1610
Manufacturing,Larson135 Inc,Partner,Hong Kong,,Laura Garza,Customer,1000000,5000,GB,1629
Energy,Thompson136 Inc,Web,Thailand,,Eric Sanchez,Customer,1000000,5000,MM,2400
Electronics,Ramirez137 Inc,Employee Referral,Japan,,Dennis Howard,Customer,1000000,5000,SMB,3220
Retail,Peters138 Inc,Web,Spain,,Irene Kelley,Customer,1000000,5000,COMM,1610
Transportation,Pope139 Inc,Web,USA,KY,John Williams,Partner,1000000,5000,ESMB,1629
Energy,Lopez140 Inc,Trade Show,China,,Kelly Frazier,Customer,1000000,5000,GB,2400
Utilities,Daniels141 Inc,Partner,Germany,,John Williams,Customer,1000000,5000,GB,3220
Energy,Underwood142 Inc,Advertisement,Canada,NJ,Nicolas Weaver,Customer,1000000,5000,COMM,1610
Media,McKenzie143 Inc,Employee Referral,Italy,,Chris Riley,Customer,1000000,5000,GB,1629
Engineering,Quinn144 Inc,Employee Referral,Brazil,,Eric Sanchez,Customer,1000000,5000,MM,2400
Insurance,Newman145 Inc,Employee Referral,Canada,MS,Bruce Kennedy,Customer,1000000,5000,MM,3220
Energy,Knight146 Inc,Employee Referral,USA,CT,Nicolas Weaver,Customer,1000000,5000,SMB,1610
Biotechnology,Graves147 Inc,Word of mouth,USA,CO,Evelyn Williamson,Customer,1000000,5000,SMB,1629
Biotechnology,Thomas148 Inc,Word of mouth,Japan,,Irene McCoy,Customer,1000000,5000,COMM,2400
Insurance,Colon149 Inc,Web,Taiwan,,Irene Kelley,Partner,1000000,5000,GB,3220
Utilities,Salazar150 Inc,Advertisement,United Kingdom,,John Williams,Customer,1000000,5000,SMB,1610
Transportation,McGuire151 Inc,Word of mouth,Russian,,Laura Garza,Customer,1000000,5000,GB,1629
Electronics,Butler152 Inc,Advertisement,Canada,HI,Johnny Green,Partner,1000000,5000,SMB,2400
Education,Miles153 Inc,Employee Referral,Italy,,Bruce Kennedy,Partner,1000000,5000,MM,3220
Apparel,Mann154 Inc,Trade Show,Korea,,Julie Chavez,Customer,1000000,5000,SMB,1610
Banking,Reyes155 Inc,Advertisement,Switzerland,,Bruce Kennedy,Customer,1000000,5000,COMM,1629
Healthcare,Nguyen156 Inc,Public Relations,Italy,,Eric Sanchez,Customer,1000000,5000,ENT,2400
Communications,Fletcher157 Inc,Partner,Spain,,Eric Sanchez,Customer,1000000,5000,SMB,3220
Biotechnology,Parsons158 Inc,Employee Referral,Korea,,Kelly Frazier,Partner,1000000,5000,SMB,1610
Media,Flores159 Inc,Employee Referral,Brazil,,Kelly Frazier,Customer,1000000,5000,COMM,1629
Education,Shaw160 Inc,Employee Referral,France,,Bruce Kennedy,Customer,1000000,5000,MM,2400
Education,Dawson161 Inc,Partner,India,,Eric Gutierrez,Customer,1000000,5000,ESMB,3220
Technology,McCarthy162 Inc,Employee Referral,Korea,,Dennis Howard,Partner,1000000,5000,SMB,1610
