OpportunityName, CloseDate, Amount, CreatedDate, StageName, ForecastCategory, Probability, ExpectedRevenue
Opportunity for Conner5,2015-09-26,32400,2015-07-01,Qualification,Pipeline,10,324000
Opportunity for McLaughlin130,2015-08-13,1249000,2015-07-01,Negotiation/Review,Forecast,90,112410000
Opportunity for McLaughlin130,2015-08-13,624500,2015-06-17,Negotiation/Review,Forecast,90,56205000
Opportunity for Chandler133,2015-07-13,754640,2015-07-01,Perception Analysis,BestCase,70,52824800
Opportunity for Barnes141,2015-07-25,363400,2015-07-01,Qualification,Pipeline,10,3634000
Opportunity for Barnes141,2015-07-25,181700,2015-06-26,Qualification,Pipeline,10,1817000
Opportunity for Edwards146,2015-07-31,4212140,2015-07-01,Perception Analysis,BestCase,70,294849800
Opportunity for Edwards146,2015-07-31,4212140,2015-06-26,Closed Lost,Omitted,0,0
Opportunity for Edwards146,2015-07-31,2106070,2015-06-22,Perception Analysis,BestCase,70,147424900
Opportunity for Williams149,2015-07-12,2305550,2015-07-01,Needs Analysis,Pipeline,20,46111000
Opportunity for Williams149,2015-07-12,2305550,2015-06-24,Closed Lost,Omitted,0,0
Opportunity for Williams149,2015-07-12,1152775,2015-06-16,Needs Analysis,Pipeline,20,23055500
Opportunity for Dennis260,2015-07-13,2868400,2015-07-01,Needs Analysis,Pipeline,20,57368000
Opportunity for Dennis260,2015-07-13,4302600,2015-06-26,Needs Analysis,Pipeline,20,86052000
Opportunity for Holmes265,2015-07-30,206640,2015-05-05,Prospecting,Pipeline,10,2066400
Opportunity for Holmes265,2015-07-30,103320,2015-05-02,Prospecting,Pipeline,10,1033200
Opportunity for Freeman268,2015-06-12,1518190,2015-06-12,Closed Won,Closed,100,151819000
Opportunity for Collier276,2015-10-05,582035,2015-07-01,Qualification,Pipeline,10,5820350
Opportunity for Allison281,2015-12-18,1573350,2015-07-01,Qualification,Pipeline,10,15733500
Opportunity for Wise361,2015-11-30,1595250,2015-07-01,Needs Analysis,Pipeline,20,31905000
Opportunity for Hunt362,2015-05-20,1148850,2015-05-20,Closed Won,Closed,100,114885000
Opportunity for Scott363,2015-08-17,788800,2015-07-01,Perception Analysis,BestCase,70,55216000
Opportunity for Scott363,2015-12-23,788800,2015-06-18,Perception Analysis,BestCase,70,55216000
Opportunity for Scott363,2015-12-23,394400,2015-06-13,Perception Analysis,BestCase,70,27608000
Opportunity for Gordon370,2015-05-10,179225,2015-05-10,Closed Won,Closed,100,17922500
Opportunity for Hawkins22,2015-07-19,136464,2015-04-22,Prospecting,Pipeline,10,1364640
Opportunity for McCormick23,2015-12-04,744440,2015-07-01,Negotiation/Review,Forecast,90,66999600
Opportunity for Butler33,2015-11-25,8577295,2015-07-01,Perception Analysis,BestCase,70,600410650
Opportunity for Alvarez35,2015-06-02,266400,2015-06-02,Closed Won,Closed,100,26640000
Opportunity for Nunez37,2015-06-16,809810,2015-06-16,Closed Lost,Omitted,0,0
Opportunity for Wilkins38,2015-06-14,980500,2015-06-14,Closed Won,Closed,100,98050000
Opportunity for Moss156,2015-09-03,857500,2015-07-01,Negotiation/Review,Forecast,90,77175000
Opportunity for Moss156,2015-11-19,857500,2015-06-19,Negotiation/Review,Forecast,90,77175000
Opportunity for Moss156,2015-11-19,428750,2015-06-11,Negotiation/Review,Forecast,90,38587500
Opportunity for Todd162,2015-09-14,465500,2015-05-16,Prospecting,Pipeline,10,4655000
Opportunity for Bush283,2015-08-17,4067300,2015-07-01,Proposal/Price Quote,BestCase,75,305047500
Opportunity for Bush283,2015-08-17,6100950,2015-06-30,Proposal/Price Quote,BestCase,75,457571250
Opportunity for Higgins293,2015-07-27,3306425,2015-07-01,Negotiation/Review,Forecast,90,297578250
Opportunity for Higgins293,2015-07-27,3306425,2015-06-28,Closed Lost,Omitted,0,0
Opportunity for Francis298,2015-08-28,219000,2015-07-01,Perception Analysis,BestCase,70,15330000
Opportunity for Francis298,2015-08-28,328500,2015-06-21,Perception Analysis,BestCase,70,22995000
Opportunity for McBride299,2015-08-05,567000,2015-07-01,Value Proposition,Pipeline,50,28350000
Opportunity for Cross303,2015-08-03,2086050,2015-07-01,Perception Analysis,BestCase,70,146023500
Opportunity for Cross303,2015-08-03,1043025,2015-06-22,Perception Analysis,BestCase,70,73011750
Opportunity for Figueroa377,2015-07-18,5839810,2015-07-01,Perception Analysis,BestCase,70,408786700
Opportunity for Figueroa377,2015-07-18,2919905,2015-06-17,Perception Analysis,BestCase,70,204393350
Opportunity for May386,2015-06-02,150240,2015-06-02,Closed Won,Closed,100,15024000
Opportunity for Hart387,2015-11-22,822800,2015-07-01,Needs Analysis,Pipeline,20,16456000
Opportunity for Perry395,2015-06-04,237840,2015-06-04,Closed Won,Closed,100,23784000
Opportunity for Nunez399,2015-09-10,844100,2015-05-24,Prospecting,Pipeline,10,8441000
Opportunity for Lambert182,2015-07-10,1750200,2015-07-01,Value Proposition,Pipeline,50,87510000
Opportunity for Lambert182,2015-07-10,2625300,2015-06-26,Value Proposition,Pipeline,50,131265000
Opportunity for Blair183,2015-10-27,2598300,2015-07-01,Needs Analysis,Pipeline,20,51966000
Opportunity for Barber186,2015-10-13,2340210,2015-07-01,Qualification,Pipeline,10,23402100
Opportunity for Frazier196,2015-12-22,164700,2015-07-01,Perception Analysis,BestCase,70,11529000
Opportunity for Phelps205,2015-11-18,53325,2015-07-01,Needs Analysis,Pipeline,20,1066500
Opportunity for Morton406,2015-07-20,356880,2015-07-01,Qualification,Pipeline,10,3568800
Opportunity for Morton406,2015-07-20,535320,2015-06-30,Qualification,Pipeline,10,5353200
Opportunity for Jordan57,2015-05-24,1455310,2015-05-24,Closed Won,Closed,100,145531000
Opportunity for Bowen59,2015-08-29,278337,2015-07-01,Perception Analysis,BestCase,70,19483590
Opportunity for Bowen59,2015-08-29,139169,2015-06-20,Perception Analysis,BestCase,70,9741830
Opportunity for Bennett62,2015-09-13,208375,2015-07-01,Value Proposition,Pipeline,50,10418750
Opportunity for Schwartz75,2015-08-08,499450,2015-07-01,Qualification,Pipeline,10,4994500
Opportunity for Schwartz75,2015-08-08,499450,2015-06-18,Closed Lost,Omitted,0,0
Opportunity for Schwartz75,2015-08-08,749175,2015-06-15,Qualification,Pipeline,10,7491750
Opportunity for Adams87,2015-10-07,1093390,2015-07-01,Value Proposition,Pipeline,50,54669500
Opportunity for Lopez212,2015-05-27,2177800,2015-05-27,Closed Won,Closed,100,217780000
Opportunity for Lee231,2015-05-20,5423800,2015-05-20,Closed Lost,Omitted,0,0
Opportunity for Burns308,2015-09-29,1188240,2015-07-01,Needs Analysis,Pipeline,20,23764800
Opportunity for Burns308,2015-06-20,1188240,2015-03-01,Needs Analysis,Pipeline,20,23764800
Opportunity for Pope310,2015-08-07,3207480,2015-07-01,Needs Analysis,Pipeline,20,64149600
Opportunity for Pope310,2015-08-07,3207480,2015-06-20,Closed Lost,Omitted,0,0
Opportunity for Pope310,2015-08-07,1603740,2015-06-13,Needs Analysis,Pipeline,20,32074800
Opportunity for Olson321,2016-01-02,3729975,2015-07-01,Qualification,Pipeline,10,37299750
Opportunity for Ramirez108,2015-06-10,87240,2015-06-10,Closed Won,Closed,100,8724000
Opportunity for Lynch113,2015-06-28,1817900,2015-06-28,Closed Won,Closed,100,181790000
Opportunity for Campbell329,2015-06-21,3173450,2015-06-21,Closed Won,Closed,100,317345000
Opportunity for Fletcher332,2015-07-11,313425,2015-07-01,Value Proposition,Pipeline,50,15671250
Opportunity for Fletcher332,2015-07-11,470138,2015-06-23,Value Proposition,Pipeline,50,23506900
Opportunity for Shaw336,2015-09-29,389120,2015-07-01,Qualification,Pipeline,10,3891200
Opportunity for Christensen684,2015-10-03,624510,2015-07-01,Qualification,Pipeline,10,6245100
Opportunity for Malone696,2015-08-03,137400,2015-07-01,Negotiation/Review,Forecast,90,12366000
Opportunity for Ingram699,2015-05-16,2669875,2015-05-16,Closed Lost,Omitted,0,0
Opportunity for Swanson1068,2015-10-25,248276,2015-07-01,Negotiation/Review,Forecast,90,22344840
Opportunity for Weber1078,2015-09-03,36960,2015-07-01,Value Proposition,Pipeline,50,1848000
Opportunity for Alvarez1088,2015-09-19,2592000,2015-07-01,Needs Analysis,Pipeline,20,51840000
Opportunity for Grant1452,2015-10-02,735870,2015-07-07,Prospecting,Pipeline,10,7358700
Opportunity for Bates1455,2016-01-05,482025,2015-07-01,Value Proposition,Pipeline,50,24101250
Opportunity for Cruz1461,2015-08-01,60160,2015-07-01,Value Proposition,Pipeline,50,3008000
Opportunity for Cruz1461,2015-08-01,60160,2015-06-27,Closed Lost,Omitted,0,0
Opportunity for Cruz1461,2015-08-01,30080,2015-06-24,Value Proposition,Pipeline,50,1504000
Opportunity for Jacobs1464,2015-07-10,5198280,2014-11-28,Prospecting,Pipeline,10,51982800
Opportunity for Jacobs1464,2015-07-10,2599140,2014-11-16,Prospecting,Pipeline,10,25991400
Opportunity for Lee1827,2015-07-29,15760,2015-07-01,Needs Analysis,Pipeline,20,315200
Opportunity for Lee1827,2015-07-29,23640,2015-06-18,Needs Analysis,Pipeline,20,472800
Opportunity for Cross1834,2015-12-17,1756800,2015-07-01,Qualification,Pipeline,10,17568000
Opportunity for McGee1836,2015-06-04,110986,2015-06-04,Closed Won,Closed,100,11098600
Opportunity for Ramirez1837,2016-01-22,179964,2015-07-01,Qualification,Pipeline,10,1799640
