OpportunityId,PricebookEntryId,Quantity,TotalPrice
Opportunity for Munoz1931,1600,768,1075200
Opportunity for Todd1747,600,564,225600
Opportunity for Griffith1840,800,1765,1059000
Opportunity for Ryan857,1000,1353,1150050
Opportunity for Beck1148,150,437,52440
Opportunity for Ramsey1069,550,1670,835000
Opportunity for Burns457,800,149,89400
Opportunity for Hudson1709,550,1908,954000
Opportunity for Fox834,450,700,157500
Opportunity for Ballard394,1600,969,1356600
Opportunity for Adkins25,150,1459,175080
Opportunity for Medina1844,1600,1122,1570800
Opportunity for Wheeler1484,2000,1671,2673600
Opportunity for Myers1105,100,787,70830
Opportunity for Daniel349,800,627,376200
Opportunity for Baker1304,1000,1199,1019150
Opportunity for McBride960,40,1413,49455
Opportunity for Clayton1970,800,789,473400
Opportunity for Santos1154,1200,170,187000
Opportunity for Frazier1159,1600,932,1304800
Opportunity for Morton559,60,738,36900
Opportunity for Sanders866,1200,1903,2093300
Opportunity for Smith1145,50,1103,44120
Opportunity for Rose1564,650,1554,777000
Opportunity for Scott363,600,1972,788800
Opportunity for McCoy901,150,1912,229440
Opportunity for Wallace1161,1200,1564,1720400
Opportunity for Taylor1314,550,674,337000
Opportunity for Murray1001,50,464,18560
Opportunity for Chapman1845,450,1435,322875
Opportunity for Myers1556,150,1054,126480
Opportunity for Kennedy1017,1200,477,524700
Opportunity for Hawkins979,60,1714,85700
Opportunity for Cain216,550,1466,733000
Opportunity for Stone749,50,1644,65760
Opportunity for Hall1835,1200,1796,1975600
Opportunity for Hoffman1430,1600,831,1163400
Opportunity for Armstrong600,1000,1996,1696600
Opportunity for Wright924,100,389,35010
Opportunity for Estrada781,650,1459,729500
Opportunity for Hill1448,1200,413,454300
Opportunity for Craig172,100,689,62010
Opportunity for White1920,150,475,57000
Opportunity for Daniel1935,550,1533,766500
Opportunity for Frazier796,550,1347,673500
Opportunity for Baker891,550,725,362500
Opportunity for Norman1354,1600,1524,2133600
Opportunity for Cohen96,150,1861,223320
Opportunity for Palmer380,550,1361,680500
Opportunity for Osborne917,100,691,62190
Opportunity for Hunt982,1400,1954,2442500
Opportunity for Coleman975,40,1424,49840
Opportunity for Cross1247,60,1135,56750
Opportunity for Pope1533,50,25,1000
Opportunity for Todd1490,40,1904,66640
Opportunity for Fisher1458,600,1892,756800
Opportunity for Massey1797,300,1674,334800
Opportunity for Mack935,600,192,76800
Opportunity for Dennis1374,1600,1316,1842400
Opportunity for Glover1974,50,885,35400
Opportunity for Moreno465,1000,715,607750
Opportunity for Clarke597,100,432,38880
Opportunity for Massey714,100,1702,153180
Opportunity for Jackson1400,150,1936,232320
Opportunity for Olson321,40,1473,51555
Opportunity for Daniel875,1000,1503,1277550
Opportunity for Gutierrez1322,50,1249,49960
Opportunity for Weber1216,550,28,14000
Opportunity for Glover1146,450,1287,289575
Opportunity for Montgomery660,550,1738,869000
Opportunity for Nichols74,1400,431,538750
Opportunity for Collier517,450,758,170550
Opportunity for Walker1342,50,1263,50520
Opportunity for Drake1130,550,1187,593500
Opportunity for Vasquez1191,450,829,186525
Opportunity for Hubbard943,550,833,416500
Opportunity for Estrada1124,150,1255,150600
Opportunity for West206,100,1032,92880
Opportunity for Cohen1199,2000,706,1129600
Opportunity for Gordon852,100,589,53010
Opportunity for Watts34,800,812,487200
